trial,temperature,kinetic_energy,n_edges,degree_mean,clustering_mean,density
173,1.6254673576695917,256.76366557371085,127.0,2.54,0.30759523809523814,0.025656565656565655
174,0.5062917219052651,79.62336959805211,125.0,2.5,0.39366666666666666,0.025252525252525252
175,4.5311456050196695,673.2319749504592,143.0,2.86,0.40292857142857147,0.028888888888888888
176,8.218072059097603,1176.2692256014634,124.0,2.48,0.40297619047619043,0.025050505050505052
177,4.268198444680807,501.7935441341932,128.0,2.56,0.3181904761904762,0.02585858585858586
178,6.939396786185877,1027.7243132088718,157.0,3.14,0.43266666666666664,0.03171717171717172
179,5.214346897380172,806.3829183780412,127.0,2.54,0.335,0.025656565656565655
180,0.19101697050314131,30.249130728921315,119.0,2.38,0.31166666666666665,0.02404040404040404
181,1.7951376745799839,269.82252336541967,126.0,2.52,0.3856666666666666,0.025454545454545455
182,5.776281399525101,911.8074796844727,122.0,2.44,0.3116666666666667,0.024646464646464646
183,1.4570697964806714,240.37931303966766,105.0,2.1,0.32433333333333336,0.021212121212121213
184,5.59389965661505,987.2209295019088,111.0,2.22,0.2782857142857143,0.022424242424242423
185,6.167058903771793,970.7290513024554,144.0,2.88,0.4276190476190477,0.02909090909090909
186,5.051873874563125,748.3491217898395,136.0,2.72,0.3698571428571429,0.027474747474747475
187,4.891593325577589,749.4723193575946,154.0,3.08,0.40380158730158733,0.03111111111111111
188,4.863502441291267,664.8973329155325,154.0,3.08,0.4880952380952381,0.03111111111111111
189,7.961959261152919,1130.8364667569879,140.0,2.8,0.4060714285714285,0.028282828282828285
190,8.093888795753442,1165.5295822811393,144.0,2.88,0.32862698412698416,0.02909090909090909
191,5.549870369170032,738.4012615441243,112.0,2.24,0.398,0.022626262626262626
192,9.705507709005708,1388.5147669833696,127.0,2.54,0.45433333333333337,0.025656565656565655
193,6.554927283293516,1052.1089325081057,114.0,2.28,0.32266666666666666,0.02303030303030303
194,8.124914511178613,1288.0472764881463,112.0,2.24,0.363,0.022626262626262626
195,4.038707451839275,502.58319233031125,114.0,2.28,0.3479761904761905,0.02303030303030303
196,8.260995140581873,1183.2977510588887,106.0,2.12,0.3936666666666666,0.021414141414141413
197,2.6141305048798955,414.7386811445077,110.0,2.2,0.2946666666666667,0.022222222222222223
198,6.025184737605839,959.6747515783316,144.0,2.88,0.4176428571428572,0.02909090909090909
199,5.938095752172064,834.1717981696572,140.0,2.8,0.39328571428571435,0.028282828282828285
